type,level,det_num,iou,offset
noise,0.0,1,0.6473580658998768,0.06302502818815658
noise,0.01,1,0.6262748470574948,0.07015886198789568
noise,0.02,1,0.6755660893089754,0.07116446641407513
noise,0.05,1,0.6977698603836009,0.0825868201521189
dropout,0.0,1,0.603894006225215,0.07432638376889927
dropout,0.2,1,0.6068447857338484,0.08221210085978638
dropout,0.3,1,0.6239359215581872,0.07606782775962688
dropout,0.5,1,0.5841845718783705,0.09181145689012092
rotate,0.0,1,0.5926117352432796,0.08941780925067971
rotate,5.0,1,0.6604223480197674,0.0663053782345743
rotate,10.0,1,0.6347918439455704,0.08441236090835454
rotate,15.0,1,0.6113222039500252,0.06197754599228662
