type,level,det_num,iou,offset
noise,0.0,1,0.5263295890930982,0.06050043808742102
noise,0.01,1,0.5659709384800476,0.044111461119921494
noise,0.02,2,0.536272903043542,0.05271381614738982
noise,0.05,2,0.5803400392066561,0.03165764672019591
dropout,0.0,1,0.5243639038909835,0.06204241997480547
dropout,0.2,1,0.5152434963237372,0.06611710836802386
dropout,0.3,1,0.5645835992228256,0.04972264256700707
dropout,0.5,1,0.5360205845074488,0.058611069078408864
rotate,0.0,1,0.5125022888977457,0.06679361828484857
rotate,45.0,0,0.0,0.0
rotate,90.0,0,0.0,0.0
rotate,180.0,0,0.0,0.0
